Count of DC_LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,albanais,"algonquiennes, langues",allemand,"altaïque, langue (autre)",anglais,arabe,aucun contenu linguistique,azéri,bengali,biélorusse,bulgare,catalan,chinois,coréen,cree,créole haîtien,créoles et pidgins divers,"créoles et pidgins français, autre",croate,danois,espagnol,espéranto,français,frioulan,galicien,géorgien,grec ancien (jusqu'à 1453),grec moderne (1453- ),hébreu,hongrois,indéterminé,"indiennes d'Amérique du Nord, autres",inuktitut,"iroquoises, langues",italien,japonais,judéo-espagnol,kabyle,langage par signes,languedocien (après 1500),latin,letton,lituanien,macédonien,malais,micmac,multilingue,néerlandais,norvégien,occitan (après 1500),ourdou,persan,polonais,portugais,roumain,russe,rwanda,sami du Nord,sanskrit,serbe,"slaves, autres langues",slovène,suédois,swahili,tagalog,tamoul,tchèque,tibétain,turc,ukrainien,vietnamien,wolof,yiddish,(blank),Grand Total
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration publique et science militaire,,,,,81,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471
Agriculture,,,1,,73,,,,,,,,,,,,,,,,1,,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958
Allemand et langues germaniques,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Anglais et vieil anglais,,,1,,833,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,959
Animaux (Zoologie),,,,,85,,,,,,,,,,,,,,,,7,,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030
Architecture,,,2,,109,,,,,,,,,,,,,,,,2,,332,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,449
Art du paysage et urbanisme,,,,,12,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
Arts et loisirs,,,,,198,,1,,,,,,,,,,,,,,5,,987,,,,,,,2,,,2,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1202
Arts graphiques,,,,,21,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,94
"Associations, organisations et musées",,,,,10,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Astronomie,,,1,,23,,,,,,,,,,,,,,,,1,,162,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
Autres langues,,20,,,17,,,,,,,,,,2,,,,,,,,47,,,,,,,4,,,4,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,103
Autres littératures,,15,,,36,3,,,,,,,9,,,,,,,,,1,257,,,,,,,,,2,10,,,,,1,,,,,,,,10,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,348
Autres religions,,,4,,82,1,,,,,,,2,,,1,,,,,7,,863,,,,,,,,1,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,969
Bâtiments et construction,,,,,5,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
Bibliographies,,,,,2,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Bibliothéconomie et sciences de l'information,,,,,43,,,,,,,,,,,,,,,,2,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
Biographie et généalogie,,,2,,593,,,,,,,,1,,,,,,,,29,,6603,,,,,,,,,,,,9,,,,,,,,,,,,,2,,,,,,1,10,1,,,,,,,,,,,,,,1,1,,,,7253
Chimie,,,,,11,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
Christianisme et théologie chrétienne,,,,,72,,,,,,,,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,661
Citations,,,,,5,,,,,,,,,,,,,,,,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
"Commerce, communications et transports",,,,,124,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440
Confessions chrétiennes,,,,,54,,,,,,,,,,,,,,,,3,,183,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,243
Congrès,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coutumes, étiquette et folklore",,,,,145,,,,,,,,,,,,1,,,,63,,997,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1214
Dessin et arts décoratifs,,,5,,611,,,,,,,1,,,,,,,1,,14,,2483,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3120
Droit,,,,,202,1,,,,,,,1,,,,,,,,,,2074,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2282
Écoles de pensée philosophiques,,,,,10,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Économie,,,1,,420,3,,,,,,,1,,,,,,,,16,,2788,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,3234
Éducation,,,,,164,,,,,,,,,,,,,,,,4,,2939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107
Encyclopédies et livres de renseignements,,,,,4,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
Épistémologie,,,,,34,,,,,,,,,,,,,,1,,,,222,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,259
Espagnole et portugais,,,,,8,,,,,,,,,,,,,,,,42,,26,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,78
Fabrication industrielle,,,,,8,,,,,,,,,,,,,,,,11,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
Fabrications de produits à usages particuliers,,,,,9,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
Fossiles et vie préhistorique,,,,,14,,,,,,,,,,,,,,,,7,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
Français et langues romanes,,,1,,68,1,,,,,,,,,,2,,,,,,,6078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6150
Génie chimique,,,,,15,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Géographie et voyages,,,3,,206,,,,,,,,,,,,,,,,4,,5005,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5222
Gestion de la vie familiale,,1,,,299,,,,,,,1,,,,,,,,,6,,3710,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4019
Gestion et relations publiques,,,,,192,,,,,,,,,,,,,,,,2,,2670,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866
Grec classique et moderne,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Histoire de l'Afrique,,,,,24,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,119
Histoire de l'Amérique du Nord,,2,3,,590,,,,,,,,,,,,,,,,7,,3071,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3678
Histoire de l'Amérique du Sud,,,,,5,,,,,,,,,,,,,,,,3,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,36
Histoire de l'Asie,,,1,,48,,,,,,,,3,,,,,,,,4,,122,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,179
Histoire de l'Europe,,,,,81,,,,,,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,379
Histoire des autres régions du monde,,,,,3,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Histoire du christianisme,,,,,41,,,,,,,,,,,,,,,,7,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246
Histoire du monde antique (jusque vers 499),,,,,2,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
Histoire et géographie,,,,,34,,,,,,,,,,,,,,,,6,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
"Informatique, information et ouvrages généraux",,,,,344,,,,,,,,,,,,,,,,2,,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514
Ingénierie,,,80,,822,,,,,,,,,,,,,,,,447,,1068,,,,,,,,32,,,,,,,,,,,,,,,,,11,,,,,,59,2,65,,,,,,,,,,,,,,,,,,,2586
Italien et roumain,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
La Bible,,1,,,66,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,484
Langues,,,,,8,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
Linguistique,,,,,14,,,,,,,,,,,,,,,,1,,92,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
Littérature,,,2,,69,,,,,,,,,,,,,,,,1,,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,881
Littérature américaine en anglais,,,,,420,,,,,,,,,,,,,,,,18,,3884,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4329
Littérature canadienne et québécoise,1,10,63,,3116,4,,1,,,,18,10,,9,6,,6,1,3,265,,50004,,,,,1,,2,1,,,,51,4,,,,,,1,1,,,,14,6,,,,,5,18,21,6,,,,4,,2,8,,,,1,,1,,1,,,,53665
Littérature Jeunesse,,,,,63,,,,,,,,,,,,,,,,4,,375,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448
Littératures allemande et des langues germaniques,,,1,,14,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255
Littératures anglaise et du vieil anglais,,,,,259,,,,,,,,,,,,,,,,,,1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1762
Littératures espagnole et portugaise,,,,,71,,,,,,,,,,,,,,,,216,,240,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,24,,,,,,,,,,,,,,,,,,,,,555
Littératures française et des langues romanes,,,6,,135,,,,,,,1,1,,,2,,4,,,4,,4974,,,,,,,,1,,,,1,2,,,,1,,,,,,,,,,,,,4,,1,2,,,,,,,,,,,,,,,4,,,,5143
Littératures grecques classique et moderne,,,,,5,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Littératures italienne et roumaine,,,,,12,,,,,,,1,,,,,,,,,2,,70,1,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,44,,,,,,,,,,,,,,,,,,,,138
Littératures latines et italiques,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Logique,,,,,1,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
"Magazines, journaux et publications en série",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Manuscrits et livres rares,,,,,47,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
Mathématiques,,,,,161,,,,,,,,,,,,,,,,1,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812
Médecine et santé,,,4,,349,,,,,,,,,,,,,,,,21,,4825,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,6,4,,,,,,,,,,,,,,3,,,,,,5215
"Médias d'information, journalisme, édition",,,,,20,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220
Métaphysique,,,,,11,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
Morale,,,,,42,,,,,,,,,,,,,,,,1,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612
Musique,,,6,,153,,2561,,,,2,,,,,,,,,,14,,875,,,,,,1,,6,,,,9,,1,,,,3,,,,,,1,,,1,,,,5,,,,,,2,2,,,,,,,,,,,,,,3642
"Organisation chrétienne, travail social et culte",,,,,259,,,,,,,,,,,,,,,,3,,566,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,831
Parapsychologie et occultisme,,,,,40,,,,,,,,,,,,,,,,4,,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834
Peinture,,,1,,166,,,,,,,,,,,,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,687
"Philosophie ancienne, médiévale, orientale",,,,,5,,,,,,,,2,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,117
Philosophie et psychologie,,,,,5,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,89
Philosophie et théorie de la religion,,,1,,12,,,,,,,,,,,,,,,,1,,65,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Philosophie occidentale moderne,,,1,,27,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
Photographie et art par ordinateur,,,,,105,,,,,,,,,,,,,,,,1,,484,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,594
Physique,,,,,27,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,205
Plantes (Botanique),,,,,6,,,,,,,,,,,,,,,,,,347,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356
Pratique et observances chrétiennes,,,,,171,1,,,,,,,,,,,,,,,1,,838,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1018
Pratiques pastorales chrétiennes et ordres religieux,,,,,37,,,,,,,,,,,,,,,,2,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,224
Problèmes et services sociaux,,,,,460,,,,,,,,,,,4,,,,,23,,3419,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,3909
Psychologie,,,1,,108,2,,,,,,,,,,,,,,,11,,4513,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,4640
Religion,,,,,63,,,,,,,,,,,,,,,,5,,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1167
Science politique,,,,,298,1,,,,,,,,,,1,,,,,8,,1328,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,1,,,,,,,,,,,1641
Sciences,,,,,46,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,516
Sciences de la Terre et géologie,,,,,48,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244
Sciences de la vie ; biologie,,,3,,35,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,296
Sciences sociales,,,3,,562,,,,,,,,1,,,8,,1,,1,15,,4665,,,,,,,,1,,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,1,,1,,,,1,,,,,,5265
"Sculpture, céramique et ferronnerie",,,,,43,,,,,,,,,,,,,,,,1,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223
"Sports, jeux et divertissement",,,1,,736,,,,,,,,,,,,,,,,67,,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,3745
Statistiques,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Technologie,,,,,6,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(blank),,3,8,1,3688,19,42,,1,2,4,3,62,14,,3,2,,,,78,2,27402,,,1,2,2,4,1,560,,16,3,12,4,,,,,,,5,3,,,229,2,1,,1,2,3,4,1,9,,,2,,,,1,,,1,,,1,1,3,,1,,32209
Grand Total,1,52,209,1,18881,36,2605,1,1,2,6,25,93,14,11,27,3,11,3,4,1471,3,172134,1,1,1,2,4,5,9,605,2,39,4,136,10,1,2,2,1,3,1,6,3,6,10,267,23,5,1,1,4,12,138,130,90,1,1,3,6,2,2,12,1,1,1,3,1,13,2,10,1,1,,197180
